description,code
"A p containing a cyan button with linear-gradient(to right, red, yellow) background that says 'Click Me', followed by a large text description, with slide-up.","<footer><button style='background-color: radial-gradient(circle, pink, purple); font-size: 26px; animation: slide-up 2s;'>Sign Up</button><p style='font-size: 26px;'>contact us</p></footer> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } transition: transform 0.2s ease-in-out;"
"A div containing a white button with radial-gradient(circle, pink, purple) background that says 'Sign Up', followed by a large text description, with bounce.","<p><button style='background-color: linear-gradient(to right, red, yellow); font-size: 24px; animation: bounce 2s;'>Click Me</button><p style='font-size: 24px;'>hello world</p></p> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } transition: all 0.3s ease;"
"A input containing a yellow button with radial-gradient(circle, pink, purple) background that says 'Submit', followed by a medium text description, with spin.","<h1><button style='background-color: linear-gradient(to right, red, yellow); font-size: 28px; animation: slide-up 2s;'>Sign Up</button><p style='font-size: 28px;'>click me</p></h1> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } transition: all 0.3s ease;"
"A green box with double border, radial-gradient(circle, pink, purple) background, medium text centered inside, using grid layout, with :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); } and fade-in.","<div style='background: linear-gradient(to bottom, blue, green); border: 2px groove black; font-size: 14px; text-align: center; display: grid; justify-content: flex-start; align-items: center; animation: fade-in 2s; transition: all 0.3s ease; :hover { transform: scale(1.1); }'>Login</div> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } }"
"A nav containing a white button with linear-gradient(to right, red, yellow) background that says 'Contact Us', followed by a medium text description, with spin.","<header><button style='background-color: radial-gradient(circle, pink, purple); font-size: 18px; animation: fade-in 2s;'>Submit</button><p style='font-size: 18px;'>search</p></header> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } transition: background-color 0.4s ease;"
"A white box with solid border, radial-gradient(circle, pink, purple) background, small text centered inside, using flex layout, with :hover { transform: scale(1.1); } and spin.","<div style='background: linear-gradient(to right, red, yellow); border: 2px solid white; font-size: 16px; text-align: center; display: inline-block; justify-content: flex-end; align-items: center; animation: bounce 2s; transition: background-color 0.4s ease; :hover { transform: scale(1.1); }'>Enter Your Name</div> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A small footer with green text, Verdana font, 2px 2px 5px rgba(0, 0, 0, 0.3), and fade-in, displayed as block with space-around, responsive with media queries.","<span style='color: cyan; font-size: 14px; font-family: Georgia; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); display: none; justify-content: space-between; animation: slide-up 2s; transition: all 0.3s ease;'>Sign Up</span> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (max-width: 600px) { font-size: 14px; }"
"A medium footer with pink text, Courier New font, 0 4px 8px rgba(0, 0, 0, 0.2), and slide-up, displayed as flex with space-between, responsive with media queries.","<h1 style='color: white; font-size: 20px; font-family: Courier New; box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); display: inline-block; justify-content: flex-start; animation: spin 2s; transition: background-color 0.4s ease;'>Login</h1> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (max-width: 600px) { font-size: 14px; }"
"A small footer with cyan text, Georgia font, 0 4px 8px rgba(0, 0, 0, 0.2), and spin, displayed as block with center, responsive with media queries.","<h2 style='color: cyan; font-size: 14px; font-family: Times New Roman; box-shadow: none; display: flex; justify-content: flex-end; animation: bounce 2s; transition: background-color 0.4s ease;'>Contact Us</h2> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (max-width: 600px) { font-size: 14px; }"
"A h1 containing a white button with linear-gradient(to bottom, blue, green) background that says 'Submit', followed by a small text description, with spin.","<h1><button style='background-color: linear-gradient(to bottom, blue, green); font-size: 16px; animation: fade-in 2s;'>Hello World</button><p style='font-size: 16px;'>choose option</p></h1> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } transition: background-color 0.4s ease;"
